"","Label","Type","Reference Model","02. Fix M","03. Fix M_k_t0_CV","04. Fix M_t0_CV","05. Fix M_CV","08. Fix growth","09. Fix Linf_CV","10. Fix k_CV","11. Fix CV","12. 5GTG","13. No recdevs","14. recdevs_sR45","15. recdevs_sR75","17. Dome-shaped_sel","18. Lorenzen M"
"124",NA,"Impl_err_2022",0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0
"125",NA,"InitF_seas_1_flt_1Fishery",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"126",NA,"Size_DblN_peak_Fishery(1)",44.2517,44.2466,57.9528,45.9558,47.1713,43.3625,49.2042,57.1293,46.949,45.5096,44.6503,44.2517,44.2517,45.0043,44.7266
"127",NA,"Size_DblN_top_logit_Fishery(1)",15,15,15,15,15,15,15,15,15,15,15,15,15,-1.54259,15
"128",NA,"Size_DblN_ascend_se_Fishery(1)",4.14135,4.13176,5.38158,4.25098,4.36224,4.19915,4.63181,5.35805,4.3601,4.32018,4.1096,4.14135,4.14135,4.24952,4.13246
"129",NA,"Size_DblN_descend_se_Fishery(1)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-2.00661,-15
"130",NA,"Size_DblN_start_logit_Fishery(1)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"131",NA,"Size_DblN_end_logit_Fishery(1)",15,15,15,15,15,15,15,15,15,15,15,15,15,2.18465,15
"8","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,"SB0",2.75756,4.5856,2.69289,4.01087,3.50686,3.45987,2.61482,2.33466,2.66658,2.6644,2.76244,2.75756,2.75756,2.95803,2.80958
"133",NA,"SSB_2021",1.54792,3.80988,2.24217,3.25636,2.72113,2.44791,1.65852,1.53773,1.36598,1.22763,1.37528,1.54792,1.54792,1.63924,1.61412
"134",NA,"Bratio_2021",0.561336,0.830835,0.832628,0.811883,0.775947,0.707515,0.63428,0.658651,0.512258,0.460753,0.49785,0.561336,0.561336,0.554165,0.574506
"135",NA,"MSY_SPR",0.768618,1.56152,1.22303,1.47691,1.26783,0.911621,0.875086,0.854744,0.724248,0.643919,0.804367,0.768618,0.768618,0.743749,0.789135
"136",NA,"F_SPR",0.0521243,0.0608267,0.148503,0.0701484,0.0719322,0.0494355,0.0749378,0.116093,0.0571622,0.0486667,0.0575572,0.0521243,0.0521243,0.0515153,0.0541798
